,Department,Object Name,Title,Artist Begin Date,Artist End Date,Object Begin Date,Object End Date,Medium,Classification,Link Resource,Artist_Surname,Artist_First_Name
9500,American Paintings and Sculpture,Painting,"Spring, Luxembourg Garden",1871      ,1966      ,1902,1902,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10251,Brownell, Matilda Auchincloss
9501,American Paintings and Sculpture,Painting,Alan Harriman,1855      ,1941      ,1905,1905,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10252,Brush, George de Forest
9503,American Paintings and Sculpture,Painting,Henry George,1855      ,1941      ,1903,1903,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10254,Brush, George de Forest
9504,American Paintings and Sculpture,Painting,In the Garden,1855      ,1941      ,1906,1906,Oil on canvas mounted on zinc plate,Paintings,http://www.metmuseum.org/art/collection/search/10255,Brush, George de Forest
9505,American Paintings and Sculpture,Painting,Mother and Child,1855      ,1941      ,1894,1894,Oil on wood,Paintings,http://www.metmuseum.org/art/collection/search/10256,Brush, George de Forest
9507,American Paintings and Sculpture,Painting,Early Morning—Venice,1840      ,1916      ,1902,1905,Oil on wood,Paintings,http://www.metmuseum.org/art/collection/search/10258,Bunce, William Gedney
9508,American Paintings and Sculpture,Painting,Eleanor Hardy Bunker,1861      ,1890      ,1890,1890,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10259,Bunker, Dennis Miller
9586,American Paintings and Sculpture,Painting,Consolation of Ariadne,1869      ,1934      ,1915,1915,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10337,Burroughs, Bryson
9587,American Paintings and Sculpture,Painting,Eurydice Bitten by the Snake,1869      ,1934      ,1930,1930,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10338,Burroughs, Bryson
9599,American Paintings and Sculpture,Painting,"Yankee Point, Monterey",1856      ,1934      ,1921,1926,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10351,Butler, Howard Russel
9600,American Paintings and Sculpture,Painting,"Un Jardin, Maison Baptiste",1860      ,1936      ,1895,1895,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10352,Butler, Theodore Earl
9601,American Paintings and Sculpture,Painting,"Wall Street, Half Past Two, October 13, 1857",1819      ,1869      ,1857,1857,Oil on paper,Paintings,http://www.metmuseum.org/art/collection/search/10353,Cafferty, James H.
9619,American Paintings and Sculpture,Painting,After a Long Cruise,1813      ,1891      ,1857,1857,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10371,Carlin, John
9623,American Paintings and Sculpture,Painting,Blackfish and Clams,1853      ,1932      ,1877,1890,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10375,Carlsen, Emil
9624,American Paintings and Sculpture,Painting,The Open Sea,1853      ,1932      ,1909,1909,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10376,Carlsen, Emil
9625,American Paintings and Sculpture,Painting,Snow Flurries,1875      ,1945      ,1927,1940,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10377,Carlson, John Fabian
9628,American Paintings and Sculpture,Painting,Distant View of the Catskills,1811      ,1893      ,1891,1891,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10380,Casilear, John William
9629,American Paintings and Sculpture,Painting,Mountain Lake Scene,1811      ,1893      ,1883,1883,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10381,Casilear, John William
9635,American Paintings and Sculpture,Painting,The Cup of Tea,1844      ,1926      ,1877,1884,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10388,Cassatt, Mary
9637,American Paintings and Sculpture,Painting,Lady at the Tea Table,1844      ,1926      ,1883,1885,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10391,Cassatt, Mary
9639,American Paintings and Sculpture,Painting,Lydia Crocheting in the Garden at Marly,1844      ,1926      ,1880,1880,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10393,Cassatt, Mary
9645,American Paintings and Sculpture,Painting,Mother and Child (Baby Getting Up from His Nap),1844      ,1926      ,1896,1899,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10400,Cassatt, Mary
9646,American Paintings and Sculpture,Painting,Mother and Child (The Oval Mirror),1844      ,1926      ,1896,1899,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10401,Cassatt, Mary
9647,American Paintings and Sculpture,Painting,Mother and Child with a Rose Scarf,1844      ,1926      ,1905,1908,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10402,Cassatt, Mary
9651,American Paintings and Sculpture,Painting,Portrait of a Young Girl,1844      ,1926      ,1899,1899,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10406,Cassatt, Mary
9665,American Paintings and Sculpture,Painting,The Last Throw,1794      ,1859      ,1837,1840,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10421,Leslie, Charles Robert
9666,American Paintings and Sculpture,Painting,Spring: Margot Standing in a Garden (Fillette dans un jardin),1844      ,1926      ,1900,1900,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10422,Cassatt, Mary
9667,American Paintings and Sculpture,Painting,Taking the Census,1806      ,1863      ,1854,1854,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10423,Edmonds, Francis William
9669,American Paintings and Sculpture,Painting,Young Mother Sewing,1844      ,1926      ,1900,1900,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10425,Cassatt, Mary
9674,American Paintings and Sculpture,Painting,Violin and Bow,1856      ,1931      ,1889,1889,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10430,Chalfant, Jefferson D.
9675,American Paintings and Sculpture,Painting,The Constitution and the Guerriere,1808      ,1867      ,1842,1845,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10431,Chambers, Thomas
9677,American Paintings and Sculpture,Painting,"Screen: ""Porcupines"" and ""Nightmare""",1872      ,1930      ,1914,1914,Oil on wood,Paintings,http://www.metmuseum.org/art/collection/search/10434,Chanler, Robert Winthrop
9678,American Paintings and Sculpture,Painting,The Roman Campagna,1808      ,1889      ,1864,1864,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/10435,Chapman, John Gadsby
9679,American Paintings and Sculpture,Painting,George Washington: Design for an Engraving,1828      ,1887      ,1857,1860,Oil on paper mounted on paper and unstretched canvas,Paintings,http://www.metmuseum.org/art/collection/search/10436,Chappel, Alonzo
9680,American Paintings and Sculpture,Painting,Adult Funeral Procession,1801      ,1878      ,1870,1870,Oil on slate paper,Paintings,http://www.metmuseum.org/art/collection/search/10437,Chappel, William P.
9681,American Paintings and Sculpture,Painting,Baked Pears in Duane Park,1801      ,1878      ,1870,1870,Oil on slate paper,Paintings,http://www.metmuseum.org/art/collection/search/10438,Chappel, William P.
9682,American Paintings and Sculpture,Painting,Baptism,1801      ,1878      ,1870,1870,Oil on slate paper,Paintings,http://www.metmuseum.org/art/collection/search/10439,Chappel, William P.
9683,American Paintings and Sculpture,Painting,Bathing Party,1801      ,1878      ,1870,1870,Oil on slate paper,Paintings,http://www.metmuseum.org/art/collection/search/10440,Chappel, William P.
9684,American Paintings and Sculpture,Painting,Berg's Ship Yard,1801      ,1878      ,1870,1870,Oil on slate paper,Paintings,http://www.metmuseum.org/art/collection/search/10441,Chappel, William P.
9685,American Paintings and Sculpture,Painting,The Boot Black,1801      ,1878      ,1870,1870,Oil on slate paper,Paintings,http://www.metmuseum.org/art/collection/search/10442,Chappel, William P.
9686,American Paintings and Sculpture,Painting,Bull's Head Tavern,1801      ,1878      ,1870,1870,Oil on slate paper,Paintings,http://www.metmuseum.org/art/collection/search/10443,Chappel, William P.
9687,American Paintings and Sculpture,Painting,Buttermilk Pedlar,1801      ,1878      ,1870,1870,Oil on slate paper,Paintings,http://www.metmuseum.org/art/collection/search/10444,Chappel, William P.
9688,American Paintings and Sculpture,Painting,Chimney Sweeps,1801      ,1878      ,1870,1870,Oil on slate paper,Paintings,http://www.metmuseum.org/art/collection/search/10445,Chappel, William P.
9689,American Paintings and Sculpture,Painting,City Watchman,1801      ,1878      ,1870,1870,Oil on slate paper,Paintings,http://www.metmuseum.org/art/collection/search/10446,Chappel, William P.
9690,American Paintings and Sculpture,Painting,The Dog Killer,1801      ,1878      ,1870,1870,Oil on slate paper,Paintings,http://www.metmuseum.org/art/collection/search/10447,Chappel, William P.
9691,American Paintings and Sculpture,Painting,Fighting a Fire,1801      ,1878      ,1870,1870,Oil on slate paper,Paintings,http://www.metmuseum.org/art/collection/search/10448,Chappel, William P.
9692,American Paintings and Sculpture,Painting,Firemen's Washing Day,1801      ,1878      ,1870,1870,Oil on slate paper,Paintings,http://www.metmuseum.org/art/collection/search/10449,Chappel, William P.
9693,American Paintings and Sculpture,Painting,Fly Market,1801      ,1878      ,1870,1870,Oil on slate paper,Paintings,http://www.metmuseum.org/art/collection/search/10450,Chappel, William P.
9694,American Paintings and Sculpture,Painting,The Garbage Cart,1801      ,1878      ,1870,1870,Oil on slate paper,Paintings,http://www.metmuseum.org/art/collection/search/10451,Chappel, William P.
9695,American Paintings and Sculpture,Painting,Hot Corn Seller,1801      ,1878      ,1870,1870,Oil on slate paper,Paintings,http://www.metmuseum.org/art/collection/search/10452,Chappel, William P.
9696,American Paintings and Sculpture,Painting,House Raising,1801      ,1878      ,1870,1870,Oil on slate paper,Paintings,http://www.metmuseum.org/art/collection/search/10453,Chappel, William P.
9697,American Paintings and Sculpture,Painting,Infant Funeral Procession,1801      ,1878      ,1870,1870,Oil on slate paper,Paintings,http://www.metmuseum.org/art/collection/search/10454,Chappel, William P.
9698,American Paintings and Sculpture,Painting,The Lamp Lighter,1801      ,1878      ,1870,1870,Oil on slate paper,Paintings,http://www.metmuseum.org/art/collection/search/10455,Chappel, William P.
9699,American Paintings and Sculpture,Painting,Militia Drilling,1801      ,1878      ,1870,1870,Oil on slate paper,Paintings,http://www.metmuseum.org/art/collection/search/10456,Chappel, William P.
