,Artist_Surname,Artist_First_Name
307745,Ceruti,Giacomo
307746,Cesari,Bernardino
307747,Cézanne,Paul
307767,Champaigne,Philippe de
307768,Chardin,Jean Siméon
307773,Chiari,Giuseppe Bartolomeo
307775,Christus,Petrus
307779,Cigoli (Ludovico Cardi),Unknown
307780,Cima da Conegliano (Giovanni Battista Cima),Unknown
307783,Claesz,Pieter
307784,Claude Lorrain (Claude Gellée),Unknown
307789,Claude Lorrain,Unknown
307790,Clouet,François
307792,Clouet,Jean
307795,Coffermans,Marcellus
307796,Collier,Edwaert
307799,Constable,John
307814,Conti,Bernardino dei
307818,Corneille de Lyon,Unknown
307835,Corot,Camille
307865,Correggio (Antonio Allegri),Unknown
307866,Cosway,Richard
307869,Cot,Pierre-Auguste
307870,Cotes,Francis
307872,Courbet,Gustave
307901,Couture,Thomas
307903,Cranach,Lucas
307918,Crayer,Gaspar de
307922,Crivelli,Carlo
307925,Crivelli,Vittore
307927,Crome,John
307930,Cuylenborch,Abraham van
307931,Cuyp,Aelbert
307938,Daddi,Bernardo
307945,Dagnan-Bouveret,Pascal-Adolphe-Jean
307947,Dahl,Michael
307948,Dandini,Cesare
307949,Dandridge,Bartholomew
307950,Daubigny,Charles-François
307959,Daumier,Honoré
307965,David,Gerard
307970,Bening,Simon
307972,David,Jacques Louis
307978,Decamps,Alexandre-Gabriel
307981,Defrance,Léonard
307983,Degas,Edgar
308029,Delacroix,Eugène
308036,Déruet,Claude
308038,Desgoffe,Blaise-Alexandre
308039,Desportes,Alexandre François
308040,Detaille,Édouard
308043,Devéria,Eugène
308044,Diaz de la Peña,Narcisse-Virgile
308049,Diepenbeeck,Abraham van
308050,Dietrich,Christian Wilhelm Ernst
308055,Domenichino (Domenico Zampieri),Unknown
308056,Domingo y Marqués,Francisco
308057,Doré,Gustave
308058,Dossi,Dosso (Giovanni de Lutero)
308059,Dou,Gerrit
308061,Drost,Willem
308063,Drouais,François Hubert
308071,Duck,Jacob
308072,Ducreux,Rose Adélaïde
308073,Dudley,Robert Charles
308079,Dughet,Gaspard
308080,Dumesnil,Pierre Louis
308083,Duplessis,Joseph Siffred
308086,Dupont,Gainsborough
308087,Dupont,Richard Gainsborough
308088,Dupré,Jules
308090,Dürer,Albrecht
308093,German Painter,Unknown
308094,Dutch Painter,Unknown
308095,Dyck,Anthony van
308109,Eeckhout,Gerbrand van den
308111,Eisen,Charles Dominique Joseph
308113,Ekels,Jan
308114,Engebrechtsz,Cornelis
308120,Etty,William
308122,European Painter,Unknown
308125,Netherlandish Painter,Unknown
308127,Faber von Creuznach,Conrad
308129,Fabritius,Barent
308131,Faes,Peter
308133,Fantin-Latour,Henri
308141,Ferrari,Defendente
308142,Fetti,Domenico
308144,Flegel,Georg
308147,Flinck,Govert
308148,Fontana,Lavinia
